method,d,imp_V0,pval_V0,imp_V1,pval_V1,imp_V2,pval_V2,imp_V3,pval_V3,imp_V4,pval_V4,imp_V5,pval_V5,imp_V6,pval_V6,imp_V7,pval_V7,imp_V8,pval_V8,imp_V9,pval_V9
0.5*CPI,10,0.04036325518917509,0.02410595415109917,0.02135105864174084,0.022185454831881276,0.09062206976923394,0.010116207636178855,0.13479967344775193,0.0003132543935853639,0.47502237956345245,2.0170966384769611e-07,-0.02860064281918331,0.2052150611466516,-0.031961253269567585,0.3241628729098233,0.023787980038553383,0.045654247356151,-0.00935375050135757,0.4203535562064157,0.0017434356629961682,0.231245640606562
0.5*CPI,20,0.09873359591203937,0.0010558367718333276,0.03896187705177178,0.04864332142688709,0.019021935163575598,0.02135430117847853,0.07006761438262464,0.007120483107284754,0.26866699584741827,0.00020698776278465128,-0.006023984711783363,0.28649423830903725,-0.005111270209500925,0.4297652700569936,-0.02063762030677473,0.42797175256245024,-0.0020730770023285063,0.3758429312788758,-0.01797911793424962,0.3486825128975368
0.5*CPI,35,0.013057528751378854,0.039172005253275834,0.019923827730359993,0.10212678005124197,0.0029309480863296713,0.06809541600538145,0.11609225502185076,0.006246735681555462,0.09709455418917602,0.000701061425677284,-0.0076828576225325355,0.17337034880718563,0.01325049269818445,0.2445411976058393,0.00037268246367201533,0.3046451364001074,0.0036100680562224886,0.22570785442637722,-0.009540281984864915,0.4058373510184231
0.5*CPI,50,0.048493748967072224,0.018949488769062075,0.0038997432850328227,0.03738658408750253,0.008380117549100946,0.009927087446174853,0.03180017903728077,0.0036511760463642158,0.07773708715090627,0.0006661701229815512,0.006971306740673044,0.10386590210045824,-0.007190485659780321,0.42492554000247695,0.0008333269320144998,0.12040075404704914,-0.0022351842272032717,0.23601602620103634,-0.00761432594879393,0.3251151491911906
0.5*CPI,100,0.0011674179573542484,0.026244261973946234,0.0013380020454144617,0.07593647032210557,-0.00043489166126426467,0.2009111644783559,0.020715746926721235,0.004005148769638509,0.027000344235436617,0.007561061379791328,-0.00036211881583172117,0.22252799424652858,9.886739463556018e-05,0.2485574459661325,-0.0007501160002877754,0.3386907791132422,0.0031049275429205127,0.14433257681849626,-0.0014599279909158019,0.4409718226656024
PFI,10,0.17152684864895948,0.019314092100892518,0.15170624176803943,0.003110417559451668,0.5893004995403087,2.044310319999208e-06,1.066247466953904,4.1076094322257434e-05,1.6720007950230389,5.63771848244187e-06,0.011026355331284397,0.16242729472714518,-0.0009679960428958475,0.3285004278745494,0.03829094577067624,0.1024838896778955,0.05060654823995829,0.5384515383725945,0.05571647812158145,0.24017042268857047
PFI,20,0.9389405473289262,0.0010821739439755853,0.7961039756861807,0.00229508909414399,0.44637709745198334,0.0018651448779080453,0.9921731315276093,0.0013933979612766574,1.5891060263289265,0.00037299986115108295,0.10930693125330802,0.028118593236108803,0.042343723524625745,0.5401817462784162,-0.07530438650614722,0.7751303302436899,0.01068056709290473,0.3847354258784686,-0.014059217712623846,0.5931774522279322
PFI,35,0.09249208071844535,0.00806048098373646,0.11671115459704173,0.017838144753600082,0.23772385479743927,0.0035323772872260127,0.687622181315841,0.003126204572028235,0.784025589244675,0.0010847621742807283,0.09810764707287373,0.02724463342786072,0.10165255126610889,0.3654111533798479,0.02215087755721072,0.3084518937932421,0.03187042427734094,0.2744738333538213,-0.035428251963535565,0.7063078655400086
PFI,50,0.1818189064958122,0.04632024442188602,0.08015991036176047,0.020536102458893077,0.05869654828596725,0.01333268970412076,0.3176720419890516,0.0020262713721631086,0.2838716326661837,0.004120292733556226,0.05776689400512214,0.015811942549618832,-0.02908007540791828,0.4542595722078483,-0.004248286396570795,0.5088722744164651,-0.008340849286000611,0.3630990926974455,-0.007890698762468947,0.5806610403547154
PFI,100,0.004797601481357739,0.09897002257456,0.004723229913240441,0.31767518706844067,0.019353362769713042,0.09605638415436289,0.06986818060804775,0.005857810466122037,0.0826831822658198,0.019778471929168203,-0.00011164801927829332,0.1855262099734819,0.0016223025012344955,0.38156404769658997,-0.003593618672663317,0.7361426158731764,0.011117158408607452,0.30536538443954825,-0.007331184144421273,0.8752803612755585
